no,idItem,title,creador,idCreador,editor,idEditor,lugar,idLugar,fecha,idioma,material,tipoContenido,tipoObjeto,relacionadoCon,objectid,parentid,format,página_física,filename
29,ZAC-027-recorte1,Las teologales. Caridad. Dictado para una velada de beneficencia,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"Arica, Chile",https://www.wikidata.org/wiki/Q2203,1899,spa,papel,texto,recorte,"ZAC-013-recorte1, ZAC-113-recorte",zac-027-recorte1,zac-027-pagina,record,027,
30,ZAC-027-recorte2,Presentación de Zoila Aurora Cáceres como colaboradora en una publicación literaria,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,"ZAC-013-recorte2, ZAC-027-recorte1",zac-027-recorte2,zac-027-pagina,record,027,
31,ZAC-027-foto,Fotografía de Zoila Aurora Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel,imagen,recorte,,zac-027-foto,zac-027-pagina,record,027,
32,ZAC-027-recorte3,Flor del aire,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1900,spa,papel,texto,recorte,,zac-027-recorte3,zac-027-pagina,record,027,
33,ZAC-028/029-carta,Carta de la Baronesa de Wilson a Zoila Aurora Cáceres,"Wilson, Emilia Serrano, baronesa de, 1843-1922",https://www.wikidata.org/wiki/Q5830843,[no aplica],[no aplica],"Barcelona, España",https://www.wikidata.org/wiki/Q1492,1902-01-21,spa,papel,texto,carta,,zac-028-029-carta,,image/jpeg,028/029,zac-028-029.jpg
,ZAC-030-pagina,[TODO] Página 030 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-030-pagina,,compound_object,030,zac-030.jpg
34,ZAC-030-recorte,Notas sociales. De regreso,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-030-recorte,zac-030-pagina,record,030,
35,ZAC-030-foto,Fotografía de Zoila Aurora Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel,imagen,recorte,,zac-030-foto,zac-030-pagina,record,030,
36,ZAC-031/032-carta,Carta de Mariano José Madueño a Zoila Aurora Cáceres,"Madueño, Mariano José, 1854-1908",http://viaf.org/viaf/21151050030433411799,[no disponible],[no disponible],"Madrid, España",https://www.wikidata.org/wiki/Q2807,1900-11-24,spa,papel,texto,carta,,zac-031-032-carta,,image/jpeg,031/032,zac-031-032.jpg
37,ZAC-033-recorte,Espíritu burlón,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"Tacna, Perú",https://www.wikidata.org/wiki/Q272795,[no disponible],spa,papel,texto,recorte,"ZAC-010-recorte2, ZAC-019-recorte2, ZAC-222-recorte",zac-033-recorte,,image/jpeg,033,zac-033.jpg
38,ZAC-033/034-tarjeta,Tarjeta de C. Carles,"Carles, C.",[no disponible],[no aplica],[no aplica],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,[ininteligible],spa,cartón,texto,tarjeta,,zac-033-034-tarjeta,,image/jpeg,033/034,zac-033-034.jpg
39,ZAC-035/037-carta,Carta de V. Checa a Zoila Aurora Cáceres,"Checa, V.",[no disponible],[no aplica],[no aplica],"Buenos Aires, Argentina",https://www.wikidata.org/wiki/Q1486,1902-06-24,spa,papel,texto,carta,,zac-035-037-carta,,multiple,035/037,
,ZAC-035/037-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-035-037-carta-p1,zac-035-037-carta,image/jpeg,035,zac-035.jpg
,ZAC-035/037-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-035-037-carta-p2,zac-035-037-carta,image/jpeg,036,zac-036.jpg
,ZAC-035/037-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-035-037-carta-p3,zac-035-037-carta,image/jpeg,037,zac-037.jpg
40,ZAC-038-foto,Retrato al carboncillo de Zoila Aurora Cáceres,"Hernández Morillo, Daniel, 1856-1932",https://www.wikidata.org/wiki/Q3014183,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,,zac-038-foto,,image/jpeg,038,zac-038.jpg
41,ZAC-039/040-tarjeta,Tarjeta de la revista Literatura y Arte a sus colegas y colaboradores literarios,"Díez de Medina, Eduardo, 1881-1955",https://www.wikidata.org/wiki/Q5340591,[no aplica],[no aplica],"La Paz, Bolivia",https://www.wikidata.org/wiki/Q1491,1902-01-01,spa,cartón,texto,tarjeta,,zac-039-040-tarjeta,,image/jpeg,039/040,zac-039-040.jpg
42,ZAC-039-carta,Carta de Benjamín Guzmán a Zoila Aurora Cáceres,"Guzmán C., Benjamín, 1873-",http://viaf.org/viaf/48276162,[no aplica],[no aplica],"Sucre, Bolivia",https://www.wikidata.org/wiki/Q2907,1900-09,spa,papel,texto,carta,,zac-039-carta,,image/jpeg,039,zac-039.jpg
43,ZAC-041-carta,Carta de Dorothea Hirschfeld a Zoila Aurora Cáceres,"Hirschfeld, Dorothea, 1877-1966",https://www.wikidata.org/wiki/Q15449918,[no aplica],[no aplica],"Berlín, Alemania",https://www.wikidata.org/wiki/Q64,1902-11-08,deu,papel,texto,carta,,zac-041-carta,,image/jpeg,041,zac-041.jpg
44,ZAC-042/043-recorte1,¡Memento!,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,Literatura y Arte,[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,"ZAC-015/016-recorte, ZAC-129-recorte2",zac-042-043-recorte1,,image/jpeg,042/043,zac-042-043.jpg
45,ZAC-042-recorte2,Nuestros grabados,[no disponible],[no disponible],Literatura y Arte,[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-042-recorte2,,image/jpeg,042,zac-042.jpg
46,ZAC-043-recorte3,Poder,"Mujía, Ricardo, 1861-",http://viaf.org/viaf/202348332,Literatura y Arte,[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-043-recorte3,,image/jpeg,043,zac-043.jpg
47,ZAC-044/048-carta,Carta de Juan Antonio Benlliure a Zoila Aurora Cáceres,"Benlliure, Juan Antonio, 1859-1930",https://www.wikidata.org/wiki/Q9015146,[no aplica],[no aplica],"Roma, Italia",https://www.wikidata.org/wiki/Q220,1895-09-24,spa,papel,texto,carta,ZAC-049-sobre,zac-044-048-carta,,multiple,044/048,
,ZAC-044/048-carta-p1,Página 1 de 5,,,,,,,,,,,,,zac-044-048-carta-p1,zac-044-048-carta,image/jpeg,044,zac-044.jpg
,ZAC-044/048-carta-p2,Página 2 de 5,,,,,,,,,,,,,zac-044-048-carta-p2,zac-044-048-carta,image/jpeg,045,zac-045.jpg
,ZAC-044/048-carta-p3,Página 3 de 5,,,,,,,,,,,,,zac-044-048-carta-p3,zac-044-048-carta,image/jpeg,046,zac-046.jpg
,ZAC-044/048-carta-p4,Página 4 de 5,,,,,,,,,,,,,zac-044-048-carta-p4,zac-044-048-carta,image/jpeg,047,zac-047.jpg
,ZAC-044/048-carta-p5,Página 5 de 5,,,,,,,,,,,,,zac-044-048-carta-p5,zac-044-048-carta,image/jpeg,048,zac-048.jpg
48,ZAC-049-sobre,Para la Señorita Zoyla Cácerez,"Benlliure, Juan Antonio, 1859-1930",https://www.wikidata.org/wiki/Q9015146,[no aplica],[no aplica],"Roma, Italia",https://www.wikidata.org/wiki/Q220,1895-09-24,spa,papel,objeto físico,sobre,ZAC-044/048-carta,zac-049-sobre,,image/jpeg,049,zac-049.jpg
49,ZAC-050/052-carta,Carta a Zoila Aurora Cáceres,[ininteligible],,[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1902-12-18,fra,papel,texto,carta,,zac-050-052-carta,,multiple,050/052,
,ZAC-050/052-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-050-052-carta-p1,zac-050-052-carta,image/jpeg,050,zac-050.jpg
,ZAC-050/052-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-050-052-carta-p2,zac-050-052-carta,image/jpeg,051,zac-051.jpg
,ZAC-050/052-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-050-052-carta-p3,zac-050-052-carta,image/jpeg,052,zac-052.jpg
50,ZAC-053-carta,Carta de María Ercilia Velar a Zoila Aurora Cáceres,"Velar, María Ercilia",[no disponible],[no aplica],[no aplica],"Buenos Aires, Argentina",https://www.wikidata.org/wiki/Q1486,1901-03-28,spa,papel,texto,carta,,zac-053-carta,,image/jpeg,053,zac-053.jpg
51,ZAC-054/056-carta,Carta de Katharina Littelmann a Zoila Aurora Cáceres,"Littelmann, Katharina",[no disponible],[no aplica],[no aplica],"Berlín, Alemania",https://www.wikidata.org/wiki/Q64,1902-10-20,fra,papel,texto,carta,,zac-054-056-carta,,multiple,054/056,
,ZAC-054/056-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-054-056-carta-p1,zac-054-056-carta,image/jpeg,054,zac-054.jpg
,ZAC-054/056-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-054-056-carta-p2,zac-054-056-carta,image/jpeg,055,zac-055.jpg
,ZAC-054/056-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-054-056-carta-p3,zac-054-056-carta,image/jpeg,056,zac-056.jpg
52,ZAC-057-foto,Fotografía de Zoila Aurora Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel,imagen,recorte,,zac-057-foto,,image/jpeg,057,zac-057.jpg
53,ZAC-058/060-carta,Carta a Zoila Aurora Cáceres,[ininteligible],,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1903-05-31,spa,papel,texto,carta,,zac-058-060-carta,,multiple,058/060,
,ZAC-058/060-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-058-060-carta-p1,zac-058-060-carta,image/jpeg,058,zac-058.jpg
,ZAC-058/060-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-058-060-carta-p2,zac-058-060-carta,image/jpeg,059,zac-059.jpg
