no,idItem,title,creador,idCreador,editor,idEditor,lugar,idLugar,fecha,idioma,material,tipoContenido,tipoObjeto,relacionadoCon,objectid,parentid,format,página_física,filename
153,ZAC-154-recorte,Perú,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],1906-03,spa,papel,texto,recorte,,zac-154-recorte,,image/jpeg,154,zac-154.jpg
154,ZAC-155-recorte,Nueva institución peruana,[no disponible],[no disponible],"La Voz del Sur (Tacna, 1893-1911)",[no disponible],[no disponible],[no disponible],1905-09-30,spa,papel,texto,recorte,,zac-155-recorte,,image/jpeg,155,zac-155.jpg
155,ZAC-156-tela,"Anniversaire ""Alger-Toulon""",[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],1906-05-13,fra,material textil estampado,objeto físico,objeto conmemorativo,,zac-156-tela,,image/jpeg,156,zac-156.jpg
156,ZAC-157/158-carta,Carta de L. Margueritte a Zoila Aurora Cáceres,"Margueritte, L.",[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,carta,,zac-157-158-carta,,image/jpeg,157/158,zac-157-158.jpg
157,ZAC-159/160-recorte,Cartas de París,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1901,spa,papel,texto,recorte,,zac-159-160-recorte,,image/jpeg,159/160,zac-159-160.jpg
158,ZAC-161-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,carta,,zac-161-carta,,image/jpeg,161,zac-161.jpg
159,ZAC-162/169-recorte,L'Ame Japonaise,"Duc, Lucien, 1849-1915",https://www.wikidata.org/wiki/Q12949553,"La Province (París, 1879-1914)",https://www.wikidata.org/wiki/Q1187449111,"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,recorte,,zac-162-169-recorte,,multiple,162/169,
,ZAC-162/169-recorte-p1,Página 1 de 8,,,,,,,,,,,,,zac-162-169-recorte-p1,zac-162-169-recorte,image/jpeg,162,zac-162.jpg
,ZAC-162/169-recorte-p2,Página 2 de 8,,,,,,,,,,,,,zac-162-169-recorte-p2,zac-162-169-recorte,image/jpeg,163,zac-163.jpg
,ZAC-162/169-recorte-p3,Página 3 de 8,,,,,,,,,,,,,zac-162-169-recorte-p3,zac-162-169-recorte,image/jpeg,164,zac-164.jpg
,ZAC-162/169-recorte-p4,Página 4 de 8,,,,,,,,,,,,,zac-162-169-recorte-p4,zac-162-169-recorte,image/jpeg,165,zac-165.jpg
,ZAC-162/169-recorte-p5,Página 5 de 8,,,,,,,,,,,,,zac-162-169-recorte-p5,zac-162-169-recorte,image/jpeg,166,zac-166.jpg
,ZAC-162/169-recorte-p6,Página 6 de 8,,,,,,,,,,,,,zac-162-169-recorte-p6,zac-162-169-recorte,image/jpeg,167,zac-167.jpg
,ZAC-162/169-recorte-p7,Página 7 de 8,,,,,,,,,,,,,zac-162-169-recorte-p7,zac-162-169-recorte,image/jpeg,168,zac-168.jpg
,ZAC-162/169-recorte-p8,Página 8 de 8,,,,,,,,,,,,,zac-162-169-recorte-p8,zac-162-169-recorte,image/jpeg,169,zac-169.jpg
160,ZAC-170-recorte,L'Idéal,"Duminy, Marcel",[no disponible],"La Province (París, 1879-1914)",https://www.wikidata.org/wiki/Q1187449111,"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,recorte,,zac-170-recorte,,image/jpeg,170,zac-170.jpg
,ZAC-171-pagina,[TODO] Página 171 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-171-pagina,,compound_object,171,zac-171.jpg
161,ZAC-171-recorte,De Marsella a Tokio y El Alma Japonesa. De Gómez Carrillo.,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-171-recorte,zac-171-pagina,record,171,
162,ZAC-171-foto,Fotografía de Enrique Gómez Carrillo,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,,zac-171-foto,zac-171-pagina,record,171,
163,ZAC-172/173-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,carta,,zac-172-173-carta,,image/jpeg,172/173,zac-172-173.jpg
164,ZAC-174-recorte,París. El vino de los asesinos,"Gómez Carrillo, Enrique, 1873-1927",https://www.wikidata.org/wiki/Q5379720,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-174-recorte,,image/jpeg,174,zac-174.jpg
165,ZAC-175-recorte,Carnet Mondain,[no disponible],[no disponible],L'Amerique Latine,[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1908-04,fra,papel,texto,recorte,,zac-175-recorte,,image/jpeg,175,zac-175.jpg
166,ZAC-175/176-postal,Tarjeta postal a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[ininteligible],fra,cartón,texto,tarjeta postal,,zac-175-176-postal,,image/jpeg,175/176,zac-175-176.jpg
167,ZAC-177/178-recorte1,Enrique Gómez Carrillo,"Battle, Carlos de",[no disponible],"Les Cinq Langues (París, 1901-1910)",https://n2t.net/ark:/13960/t37086w5c,"París, Francia",https://www.wikidata.org/wiki/Q90,1906-12-05,spa,papel,texto,recorte,,zac-177-178-recorte1,,image/jpeg,177/178,zac-177-178.jpg
168,ZAC-178/180-recorte2,El culto de la cortesía,"Gómez Carrillo, Enrique, 1873-1927",https://www.wikidata.org/wiki/Q5379720,"Les Cinq Langues (París, 1901-1910)",https://n2t.net/ark:/13960/t37086w5c,"París, Francia",https://www.wikidata.org/wiki/Q90,1906-12-05,spa,papel,texto,recorte,,zac-178-180-recorte2,,multiple,178/180,
,ZAC-178/180-recorte2-p1,Página 1 de 3,,,,,,,,,,,,,zac-178-180-recorte2-p1,zac-178-180-recorte2,image/jpeg,178,zac-178.jpg
,ZAC-178/180-recorte2-p2,Página 2 de 3,,,,,,,,,,,,,zac-178-180-recorte2-p2,zac-178-180-recorte2,image/jpeg,179,zac-179.jpg
,ZAC-178/180-recorte2-p3,Página 3 de 3,,,,,,,,,,,,,zac-178-180-recorte2-p3,zac-178-180-recorte2,image/jpeg,180,zac-180.jpg
169,ZAC-180-recorte3,Á un Poste telegráfico,"Blanco-Belmonte, Marcos Rafael, 1871-1936",https://www.wikidata.org/wiki/Q15831581,"Les Cinq Langues (París, 1901-1910)",https://n2t.net/ark:/13960/t37086w5c,"París, Francia",https://www.wikidata.org/wiki/Q90,1906-12-05,spa,papel,texto,recorte,,zac-180-recorte3,,image/jpeg,180,zac-180.jpg
170,ZAC-181/182-recorte4,"""El Alma Japonesa"" de Gómez Carrillo","Faguet, Émile, 1847-1916",https://www.wikidata.org/wiki/Q551543,"Les Cinq Langues (París, 1901-1910)",https://n2t.net/ark:/13960/t37086w5c,"París, Francia",https://www.wikidata.org/wiki/Q90,1906-12-05,spa,papel,texto,recorte,,zac-181-182-recorte4,,image/jpeg,181/182,zac-181-182.jpg
171,ZAC-182-recorte5,Lo insepultable,[no disponible],[no disponible],"Les Cinq Langues (París, 1901-1910)",https://n2t.net/ark:/13960/t37086w5c,"París, Francia",https://www.wikidata.org/wiki/Q90,1906-12-05,spa,papel,texto,recorte,,zac-182-recorte5,,image/jpeg,182,zac-182.jpg
172,ZAC-183/184-postal,Tarjeta postal a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[ininteligible],fra,cartón,texto,tarjeta postal,,zac-183-184-postal,,image/jpeg,183/184,zac-183-184.jpg
173,ZAC-185/186-recorte,Bibliographie,"Bloch, E. Henri",[no disponible],"Les Cinq Langues (París, 1901-1910)",https://n2t.net/ark:/13960/t37086w5c,"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,recorte,,zac-185-186-recorte,,image/jpeg,185/186,zac-185-186.jpg
174,ZAC-187/188-postal,Tarjeta postal a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1902-07-29,fra,cartón,texto,tarjeta postal,,zac-187-188-postal,,image/jpeg,187/188,zac-187-188.jpg
175,ZAC-187-nota,Nota a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,nota,,zac-187-nota,,image/jpeg,187,zac-187.jpg
176,ZAC-189-boceto,Boceto de Zoila Aurora Cáceres,[ininteligible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],cartón,imagen,impresión (estampa individual),ZAC-239-foto1,zac-189-boceto,,image/jpeg,189,zac-189.jpg
177,ZAC-190/191-recorte,Eduardo Diez de Medina,[no disponible],[no disponible],La Crisálida,[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-190-191-recorte,,image/jpeg,190/191,zac-190-191.jpg
178,ZAC-190-foto,Fotografía de Luis Morote,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel,imagen,recorte,,zac-190-foto,,image/jpeg,190,zac-190.jpg
179,ZAC-192/193-tarjeta,Réception de l'Association Internationale de la Presse,Association Internationale de la Presse,[no disponible],[no aplica],[no aplica],"Ginebra, Suiza",https://www.wikidata.org/wiki/Q71,1906-09-18/1906-09-19,fra,cartón,texto,tarjeta,,zac-192-193-tarjeta,,image/jpeg,192/193,zac-192-193.jpg
,ZAC-194-pagina,[TODO] Página 194 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-194-pagina,,compound_object,194,zac-194.jpg
180,ZAC-194-recorte1,Americanismo,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1906,spa,papel,texto,recorte,,zac-194-recorte1,zac-194-pagina,record,194,
181,ZAC-194-pase,Tessera di libero ingresso,Comune di Milano,[no disponible],[no disponible],[no disponible],"Milán, Italia",https://www.wikidata.org/wiki/Q490,[no disponible],ita,cartón,texto,pase,,zac-194-pase,zac-194-pagina,record,194,
182,ZAC-195-recorte2,Reverso de recorte,[no disponible],[no disponible],[no disponible],[no disponible],"Nueva York, Estados Unidos",https://www.wikidata.org/wiki/Q60,[no disponible],spa,papel,texto,recorte,,zac-195-recorte2,,image/jpeg,195,zac-195.jpg
183,ZAC-196-tarjeta,Five O'clock du Figaro,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],1910-06-11,fra,cartón,texto,tarjeta,,zac-196-tarjeta,,image/jpeg,196,zac-196.jpg
184,ZAC-197-foto,Portada de la revista Caras y Caretas,"Hernández Morillo, Daniel, 1856-1932",https://www.wikidata.org/wiki/Q3014183,Caras y Caretas,[no disponible],[no disponible],[no disponible],[no disponible],spa,papel fotográfico,imagen,fotografía,,zac-197-foto,,image/jpeg,197,zac-197.jpg
185,ZAC-198-foto,Retrato al carboncillo de Zoila Aurora Cáceres,"Hernández Morillo, Daniel, 1856-1932",https://www.wikidata.org/wiki/Q3014183,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,,zac-198-foto,,image/jpeg,198,zac-198.jpg
186,ZAC-199/200-postal,Tarjeta postal a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"Brighton, Reino Unido",https://www.wikidata.org/wiki/Q131491,1908-07-27,spa,cartón,texto,tarjeta postal,,zac-199-200-postal,,image/jpeg,199/200,zac-199-200.jpg
,ZAC-201/202-pagina,[TODO] Página 201/202 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-201-202-pagina,,compound_object,201/202,zac-201-202.jpg
187,ZAC-201/202-postal1,Tarjeta postal a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1902,spa,cartón,texto,tarjeta postal,,zac-201-202-postal1,zac-201-202-pagina,record,201/202,
188,ZAC-201/202-postal2,Tarjeta postal a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1902-02-16,spa,cartón,texto,tarjeta postal,,zac-201-202-postal2,zac-201-202-pagina,record,201/202,
189,ZAC-203-nota,Nota a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],[no disponible],[no disponible],[no disponible],spa,cartón,texto,nota,,zac-203-nota,,image/jpeg,203,zac-203.jpg
190,ZAC-203/204-postal,Tarjeta postal a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1902-04-11,spa,cartón,texto,tarjeta postal,,zac-203-204-postal,,image/jpeg,203/204,zac-203-204.jpg
191,ZAC-204-nota,Nota a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],[no disponible],[no disponible],[no disponible],fra,cartón,texto,nota,,zac-204-nota,,image/jpeg,204,zac-204.jpg
192,ZAC-205-nota,Nota a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],[no disponible],[no disponible],[no disponible],fra,cartón,texto,nota,,zac-205-nota,,image/jpeg,205,zac-205.jpg
193,ZAC-206-tarjeta1,Tarjeta de Docteur Potain,Potain,[no disponible],[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,cartón,texto,tarjeta,,zac-206-tarjeta1,,image/jpeg,206,zac-206.jpg
,ZAC-206/207-pagina,[TODO] Página 206/207 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-206-207-pagina,,compound_object,206/207,zac-206-207.jpg
194,ZAC-206/207-tarjeta2,"Tarjeta de Cosme Mivielle, Director de las Hijas de la Caridad","Mivielle, Cosme",[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,cartón,texto,tarjeta,,zac-206-207-tarjeta2,zac-206-207-pagina,record,206/207,
195,ZAC-206/207-nota,Nota a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],1896-06-04,spa,cartón,texto,nota,,zac-206-207-nota,zac-206-207-pagina,record,206/207,
196,ZAC-208/209-postal,Tarjeta postal a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1908-06-13,fra,cartón,texto,tarjeta postal,,zac-208-209-postal,,image/jpeg,208/209,zac-208-209.jpg
197,ZAC-210/211-carta,Carta de L. Margueritte a Zoila Aurora Cáceres,"Margueritte, L.",[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,carta,,zac-210-211-carta,,image/jpeg,210/211,zac-210-211.jpg
,ZAC-212-pagina,[TODO] Página 212 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-212-pagina,,compound_object,212,zac-212.jpg
198,ZAC-212-tarjeta1,Fête Latine. Banquet Aurora de Caceres,[no disponible],[no disponible],Latina (París),[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1910-05-07,fra,cartón,texto,tarjeta,ZAC-212/213-tarjeta2,zac-212-tarjeta1,zac-212-pagina,record,212,
200,ZAC-212-recorte,Prisma,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-212-recorte,zac-212-pagina,record,212,
199,ZAC-212/213-tarjeta2,"Banquet offert par la revue ""Latina"" à Madame Aurora de Caceres ",[no disponible],[no disponible],Latina (París),[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1910-05-07,fra,cartón,texto,tarjeta,"ZAC-212-tarjeta1, ZAC-198-foto",zac-212-213-tarjeta2,,image/jpeg,212/213,zac-212-213.jpg
201,ZAC-214/215-nota,Nota a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,cartón,texto,nota,,zac-214-215-nota,,image/jpeg,214/215,zac-214-215.jpg
202,ZAC-216-recorte,Carta de Lima,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,"El Grito del Pueblo (Guayaquil, 1895)",[no disponible],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1900-09-10,spa,papel,texto,recorte,,zac-216-recorte,,image/jpeg,216,zac-216.jpg
203,ZAC-217-recorte,Isthar,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,ZAC-241-recorte,zac-217-recorte,,image/jpeg,217,zac-217.jpg
204,ZAC-218-recorte,Cartas europeas,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,"El Grito del Pueblo (Guayaquil, 1895)",[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1901-05,spa,papel,texto,recorte,,zac-218-recorte,,image/jpeg,218,zac-218.jpg
,ZAC-219-pagina,[TODO] Página 219 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-219-pagina,,compound_object,219,zac-219.jpg
205,ZAC-219-carta,Carta de la Baronesa de Wilson a Zoila Aurora Cáceres,"Wilson, Emilia Serrano, baronesa de, 1843-1922",https://www.wikidata.org/wiki/Q5830843,[no aplica],[no aplica],"Barcelona, España",https://www.wikidata.org/wiki/Q1492,1902-05-13,spa,papel,texto,carta,,zac-219-carta,zac-219-pagina,record,219,
206,ZAC-219-foto,Fotografía de Zoila Aurora Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel,imagen,recorte,,zac-219-foto,zac-219-pagina,record,219,
207,ZAC-220/221-carta,Carta de Alvina v. P. de Sala a Zoila Aurora Cáceres,"Sala, Alvina van Praet de",https://www.wikidata.org/wiki/Q95749957,[no aplica],[no aplica],"Buenos Aires, Argentina",https://www.wikidata.org/wiki/Q1486,1903-03-18,spa,papel,texto,carta,ZAC-112-carta,zac-220-221-carta,,image/jpeg,220/221,zac-220-221.jpg
,ZAC-222-pagina,[TODO] Página 222 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-222-pagina,,compound_object,222,zac-222.jpg
208,ZAC-222-recorte,Espíritu burlón,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"Tacna, Perú",https://www.wikidata.org/wiki/Q272795,[no disponible],spa,papel,texto,recorte,"ZAC-010-recorte2, ZAC-019-recorte2, ZAC-033-recorte",zac-222-recorte,zac-222-pagina,record,222,
209,ZAC-222-foto,Fotografía de público en una escenificación,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,,zac-222-foto,zac-222-pagina,record,222,
210,ZAC-223/224-postal,Tarjeta postal de Pedro González y Campos a Enrique Gómez Carrillo,"González y Campos, Pedro",[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1906,spa,cartón,texto,tarjeta postal,,zac-223-224-postal,,image/jpeg,223/224,zac-223-224.jpg
211,ZAC-225/226-carta,Carta de Darío Perez a Zoila Aurora Cáceres,"Pérez García, Darío, 1869-1945",https://www.wikidata.org/wiki/Q28723513,"El Liberal (Barcelona, 1901-1935)",https://www.wikidata.org/wiki/Q28518824,"Barcelona, España",https://www.wikidata.org/wiki/Q1492,1902-05-22,spa,papel,texto,carta,,zac-225-226-carta,,image/jpeg,225/226,zac-225-226.jpg
,ZAC-227-pagina,[TODO] Página 227 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-227-pagina,,compound_object,227,zac-227.jpg
212,ZAC-227-foto,Fotografía de esculturas griegas,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,ZAC-227-nota,zac-227-foto,zac-227-pagina,record,227,
213,ZAC-227-nota,Nota sobre fotografía de esculturas griegas,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no aplica],[no aplica],[no disponible],[no disponible],[no disponible],fra,papel,texto,nota,ZAC-227-foto,zac-227-nota,zac-227-pagina,record,227,
214,ZAC-228/230-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1906-05-29,spa,papel,texto,carta,,zac-228-230-carta,,multiple,228/230,
,ZAC-228/230-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-228-230-carta-p1,zac-228-230-carta,image/jpeg,228,zac-228.jpg
,ZAC-228/230-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-228-230-carta-p2,zac-228-230-carta,image/jpeg,229,zac-229.jpg
,ZAC-228/230-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-228-230-carta-p3,zac-228-230-carta,image/jpeg,230,zac-230.jpg
215,ZAC-231-foto,Retrato de un hombre,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,,zac-231-foto,,image/jpeg,231,zac-231.jpg
216,ZAC-232/235-folleto,Folleto publicitario de la Compagnie Générale Transatlantique,Compagnie Générale Transatlantique,https://www.wikidata.org/wiki/Q1121065,[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,cartón,texto,folleto,,zac-232-235-folleto,,multiple,232/235,
,ZAC-232/235-folleto-p1,Página 1 de 4,,,,,,,,,,,,,zac-232-235-folleto-p1,zac-232-235-folleto,image/jpeg,232,zac-232.jpg
,ZAC-232/235-folleto-p2,Página 2 de 4,,,,,,,,,,,,,zac-232-235-folleto-p2,zac-232-235-folleto,image/jpeg,233,zac-233.jpg
,ZAC-232/235-folleto-p3,Página 3 de 4,,,,,,,,,,,,,zac-232-235-folleto-p3,zac-232-235-folleto,image/jpeg,234,zac-234.jpg
,ZAC-232/235-folleto-p4,Página 4 de 4,,,,,,,,,,,,,zac-232-235-folleto-p4,zac-232-235-folleto,image/jpeg,235,zac-235.jpg
217,ZAC-233/234-volante,Cabin passenger list,Compagnie Générale Transatlantique,https://www.wikidata.org/wiki/Q1121065,[no aplica],[no aplica],"Nueva York, Estados Unidos",https://www.wikidata.org/wiki/Q60,1906-02-22,eng,papel,texto,volante,,zac-233-234-volante,,image/jpeg,233/234,zac-233-234.jpg
218,ZAC-236-recorte,General Cáceres a las provincias cautivas,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"Arica, Chile",https://www.wikidata.org/wiki/Q2203,[no disponible],spa,papel,texto,recorte,,zac-236-recorte,,image/jpeg,236,zac-236.jpg
219,ZAC-237/238-recorte,La mujer argentina,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,"Prisma (Lima, 1905-1907)",https://fuenteshistoricasdelperu.com/2020/06/12/prisma/,"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1905-12,spa,papel,texto,recorte,,zac-237-238-recorte,,image/jpeg,237/238,zac-237-238.jpg
,ZAC-239-pagina,[TODO] Página 239 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-239-pagina,,compound_object,239,zac-239.jpg
220,ZAC-239-foto1,Fotografía de grupo,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,"ZAC-239-foto2, ZAC-189-boceto",zac-239-foto1,zac-239-pagina,record,239,
221,ZAC-239-foto2,Fotografía de grupo,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,ZAC-239-foto1,zac-239-foto2,zac-239-pagina,record,239,
222,ZAC-240-foto,Fotografía de Zoila Aurora Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,,zac-240-foto,,image/jpeg,240,zac-240.jpg
223,ZAC-241-recorte,Isthar,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,ZAC-217-recorte,zac-241-recorte,,image/jpeg,241,zac-241.jpg
224,ZAC-242/243-postal,Tarjeta postal de la revista Latina,Latina (París),[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,cartón,texto,tarjeta postal,,zac-242-243-postal,,image/jpeg,242/243,zac-242-243.jpg
225,ZAC-242-carnet,Carné de Zoila Aurora Cáceres,Deutscher Frauen-Club,[no disponible],[no disponible],[no disponible],"Berlín, Alemania",https://www.wikidata.org/wiki/Q64,[no disponible],deu,cartón,texto,carné de identidad,,zac-242-carnet,,image/jpeg,242,zac-242.jpg
226,ZAC-244-recorte,Clorinda Matto de Turner,M.J.S,https://www.wikidata.org/wiki/Q463299,América Latina,[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-244-recorte,,image/jpeg,244,zac-244.jpg
227,ZAC-245/249-carta,Carta de Katharina Zitelmann [entrevista epistolar],"Zitelmann, Katharina, 1844-1926",https://www.wikidata.org/wiki/Q1736024,[no aplica],[no disponible],"Berlín, Alemania",https://www.wikidata.org/wiki/Q64,[no disponible],deu,papel,texto,carta,,zac-245-249-carta,,multiple,245/249,
,ZAC-245/249-carta-p1,Página 1 de 5,,,,,,,,,,,,,zac-245-249-carta-p1,zac-245-249-carta,image/jpeg,245,zac-245.jpg
,ZAC-245/249-carta-p2,Página 2 de 5,,,,,,,,,,,,,zac-245-249-carta-p2,zac-245-249-carta,image/jpeg,246,zac-246.jpg
,ZAC-245/249-carta-p3,Página 3 de 5,,,,,,,,,,,,,zac-245-249-carta-p3,zac-245-249-carta,image/jpeg,247,zac-247.jpg
,ZAC-245/249-carta-p4,Página 4 de 5,,,,,,,,,,,,,zac-245-249-carta-p4,zac-245-249-carta,image/jpeg,248,zac-248.jpg
,ZAC-245/249-carta-p5,Página 5 de 5,,,,,,,,,,,,,zac-245-249-carta-p5,zac-245-249-carta,image/jpeg,249,zac-249.jpg
228,ZAC-250-nota,Nota de von Tschirschky und Bögendorff a Enrique Gómez Carrillo,"Tschirschky, Heinrich von 1858-1915",https://www.wikidata.org/wiki/Q214006,[no aplica],[no disponible],"Berlín, Alemania",https://www.wikidata.org/wiki/Q64,1906-12-22,fra,papel,texto,nota,,zac-250-nota,,image/jpeg,250,zac-250.jpg
,ZAC-251-pagina,[TODO] Página 251 del álbum (contiene 5 documentos),,,,,,,,,,,,,zac-251-pagina,,compound_object,251,zac-251.jpg
229,ZAC-251-recorte1,Enrique Gómez Carrillo,[no disponible],[no disponible],"El Liberal (Madrid, 1879-1939)",https://www.wikidata.org/wiki/Q3327138,"Madrid, España",https://www.wikidata.org/wiki/Q2807,1906-06-01,spa,papel,texto,recorte,,zac-251-recorte1,zac-251-pagina,record,251,
230,ZAC-251-comprobante,Comprobante de Argus de la Presse,Argus de la Presse,https://www.wikidata.org/wiki/Q16650919,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,comprobante,ZAC-251-recorte2,zac-251-comprobante,zac-251-pagina,record,251,
